sport,year,round,event,name1,name2,seed1,team1,score1,seed2,team2,score2,ot,loc
NCAABB,1996,32,MWR2,Midwest Regional,Second Round,6,Louisville,68,3,Villanova,64,,
NCAABB,1996,32,SER2,Southeast Regional,Second Round,1,Connecticut,95,9,Eastern Mich.,81,,
NCAABB,1996,32,SER2,Southeast Regional,Second Round,2,Cincinnati,78,7,Temple,65,,
NCAABB,1996,32,SER2,Southeast Regional,Second Round,3,Georgia Tech,103,11,Boston College,89,,
NCAABB,1996,32,SER2,Southeast Regional,Second Round,5,Miss State,63,13,Princeton,41,,
NCAABB,1996,32,WER2,West Regional,Second Round,2,Kansas,76,10,Santa Clara,51,,
NCAABB,1996,32,WER2,West Regional,Second Round,3,Arizona,87,6,Iowa,73,,
NCAABB,1996,32,WER2,West Regional,Second Round,4,Syracuse,69,12,Drexel,58,,
NCAABB,1996,32,WER2,West Regional,Second Round,8,Georgia,76,1,Purdue,69,,
NCAABB,1996,16,EASF,East Regional,Semifinals,1,Massachusetts,79,12,Arkansas,63,,
NCAABB,1996,16,EASF,East Regional,Semifinals,2,Georgetown,98,3,Texas Tech,90,,
NCAABB,1996,16,MWSF,Midwest Regional,Semifinals,1,Kentucky,101,4,Utah,70,,
NCAABB,1996,16,MWSF,Midwest Regional,Semifinals,2,Wake Forest,60,6,Louisville,59,,
NCAABB,1996,16,SESF,Southeast Regional,Semifinals,2,Cincinnati,87,3,Georgia Tech,70,,
NCAABB,1996,16,SESF,Southeast Regional,Semifinals,5,Miss State,60,1,Connecticut,55,,
NCAABB,1996,16,WESF,West Regional,Semifinals,2,Kansas,83,3,Arizona,80,,
NCAABB,1996,16,WESF,West Regional,Semifinals,4,Syracuse,83,8,Georgia,81,OT,
NCAABB,1996,8,EAFinal,East Regional,Final,1,Massachusetts,86,2,Georgetown,62,,
NCAABB,1996,8,MWFinal,Midwest Regional,Final,1,Kentucky,83,2,Wake Forest,63,,
NCAABB,1996,8,SEFinal,Southeast Regional,Final,5,Miss State,73,2,Cincinnati,63,,
NCAABB,1996,8,WEFinal,West Regional,Final,4,Syracuse,60,2,Kansas,57,,
NCAABB,1996,4,NCAASF,Final Four,Semifinals,1,Kentucky,81,1,Massachusetts,74,,
NCAABB,1996,4,NCAASF,Final Four,Semifinals,4,Syracuse,77,5,Miss State,69,,
NCAABB,1996,2,NCAAFinal,Final Four,Championship,1,Kentucky,76,4,Syracuse,67,,East Rutherford
NCAABB,1997,64,EAR1,East Regional,First Round,1,North Carolina,82,16,Fairfield,74,,
NCAABB,1997,64,EAR1,East Regional,First Round,3,New Mexico,59,14,Old Dominion,55,,
NCAABB,1997,64,EAR1,East Regional,First Round,4,Villanova,101,13,Long Island,91,,
NCAABB,1997,64,EAR1,East Regional,First Round,5,California,55,12,Princeton,52,,
NCAABB,1997,64,EAR1,East Regional,First Round,6,Louisville,65,11,Massachusetts,57,,
NCAABB,1997,64,EAR1,East Regional,First Round,9,Colorado,80,8,Indiana,62,,
NCAABB,1997,64,EAR1,East Regional,First Round,10,Texas,71,7,Wisconsin,58,,
NCAABB,1997,64,EAR1,East Regional,First Round,15,Coppin St.,78,2,South Carolina,65,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,1,Minnesota,78,16,Texas St.,46,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,2,UCLA,109,15,Charleston So.,75,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,3,Cincinnati,86,14,Butler,69,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,4,Clemson,68,13,Miami Ohio,56,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,5,Tulsa,81,12,Boston U.,52,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,6,Iowa State,69,11,Illinois St.,57,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,7,Xavier,80,10,Vanderbilt,68,,
NCAABB,1997,64,MWR1,Midwest Regional,First Round,9,Temple,62,8,Mississippi,40,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,1,Kansas,78,16,Jackson St.,64,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,2,Duke,71,15,Murray St.,68,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,4,Arizona,65,13,South Alabama,57,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,6,Illinois,90,11,USC,77,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,8,Purdue,83,9,Rhode Island,76,OT,
NCAABB,1997,64,SER1,Southeast Regional,First Round,10,Providence,81,7,Marquette,59,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,12,Charleston,75,5,Maryland,66,,
NCAABB,1997,64,SER1,Southeast Regional,First Round,14,Chattanooga,73,3,Georgia,70,,
